Index,KernelName,gpu-id,queue-id,queue-index,pid,tid,grd,wgr,lds,scr,vgpr,sgpr,fbar,sig,obj
15,"runkernel_0$ck_L92_4.kd",0,0,30,20174,20174,20224,256,0,0,16,104,0,0x0,0x7f014d8becc0
16,"runkernel_0$ck_L50_1.kd",0,0,32,20174,20174,13056,256,512,0,48,120,20288,0x0,0x7f014d8bec80
17,"runkernel_0$ck_L92_4.kd",0,0,34,20174,20174,20224,256,0,0,16,104,0,0x0,0x7f014d8becc0
18,"runkernel_0$ck_L50_1.kd",0,0,36,20174,20174,13056,256,512,0,48,120,20288,0x0,0x7f014d8bec80
19,"runkernel_0$ck_L92_4.kd",0,0,38,20174,20174,20224,256,0,0,16,104,0,0x0,0x7f014d8becc0
20,"runkernel_0$ck_L50_1.kd",0,0,40,20174,20174,13056,256,512,0,48,120,20288,0x0,0x7f014d8bec80
21,"runkernel_0$ck_L92_4.kd",0,0,42,20174,20174,20224,256,0,0,16,104,0,0x0,0x7f014d8becc0
22,"runkernel_0$ck_L50_1.kd",0,0,44,20174,20174,13056,256,512,0,48,120,20288,0x0,0x7f014d8bec80
23,"runkernel_0$ck_L92_4.kd",0,0,46,20174,20174,20224,256,0,0,16,104,0,0x0,0x7f014d8becc0
24,"runkernel_0$ck_L50_1.kd",0,0,48,20174,20174,13056,256,512,0,48,120,20288,0x0,0x7f014d8bec80
25,"runkernel_0$ck_L92_4.kd",0,0,50,20174,20174,20224,256,0,0,16,104,0,0x0,0x7f014d8becc0
26,"runkernel_0$ck_L50_1.kd",0,0,52,20174,20174,13056,256,512,0,48,120,20288,0x0,0x7f014d8bec80
27,"runkernel_0$ck_L92_4.kd",0,0,54,20174,20174,20224,256,0,0,16,104,0,0x0,0x7f014d8becc0
28,"runkernel_0$ck_L50_1.kd",0,0,56,20174,20174,13056,256,512,0,48,120,20288,0x0,0x7f014d8bec80
29,"runkernel_0$ck_L92_4.kd",0,0,58,20174,20174,20224,256,0,0,16,104,0,0x0,0x7f014d8becc0
30,"runkernel_0$ck_L50_1.kd",0,0,60,20174,20174,13056,256,512,0,48,120,20288,0x0,0x7f014d8bec80
31,"runkernel_0$ck_L92_4.kd",0,0,62,20174,20174,20224,256,0,0,16,104,0,0x0,0x7f014d8becc0
32,"runkernel_0$ck_L50_1.kd",0,0,64,20174,20174,13056,256,512,0,48,120,20288,0x0,0x7f014d8bec80
33,"runkernel_0$ck_L92_4.kd",0,0,66,20174,20174,20224,256,0,0,16,104,0,0x0,0x7f014d8becc0
